timestamp,Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,hour,timecluster,month,season,dayofweek
2019-09-13 11,20.7254901960784,45.5372549019608,5.07058823529412,19.4077058823529,20.0372549019608,28.0372549019608,35.56,30,32.78,1003,4.6,200,0,40,11,2,9,2,6
2019-09-13 12,21.6963045290358,45.5959988885802,4.78438455126424,19.4204362322867,21.4834676298972,29.678799666574,35.34,31,32.22,1002,4.6,190,0,40,12,2,9,2,6
2019-09-13 13,22.1673151750973,43.5553085047249,5.3627015008338,19.4298249027237,22.079766536965,30.736798221234,33.88,30.1,31.19,1005,4.6,190,0,40,13,2,9,2,6
2019-09-13 14,21.7349263684357,44.1597666018338,4.6499027507641,19.4232953598222,24.0989163656571,33.7010280633509,37.19,30.39,31,1004,1,200,0,40,14,2,9,2,6
2019-09-13 15,19.2775771047513,53.9199777716032,6.14976382328425,19.4046901917199,27.7688246735204,38.6735204223395,36.11,29.27,31,1004,1,200,0,40,15,2,9,2,6
2019-09-13 16,17.9694189602447,60.3864331387267,6.42035029190993,19.3942035029191,31.6221851542952,44.2813455657492,36.35,28.2,30.4,1005,1,180,0,40,16,2,9,2,6
2019-09-13 17,16.8352810239288,67.2838063439065,5.83889816360601,19.3884919309961,37.3569838619922,51.9618809126322,37.12,29.55,30.4,1005,1,140,0,40,17,3,9,2,6
2019-09-13 18,16.9221140472879,66.686230876217,6.09624478442281,19.3947315716273,26.5279554937413,37.0968011126565,37.04,29.47,30.4,1005,1,140,0,40,18,3,9,2,6
2019-09-13 19,16.4220183486239,63.6652766194051,5.65221017514596,19.3897164303586,22.1175979983319,31.0316930775646,35.39,27,29.21,1006,0.5,200,0,40,19,3,9,2,6
2019-09-13 20,15.7321478188386,66.315365379272,5.86774103917755,19.385365379272,22.4248402333982,31.3395387607669,34.23,27,28.02,1006,0.5,200,0,40,20,3,9,2,6
2019-09-13 21,15.896331295164,67.7812673707615,5.83296275708727,19.3734491384102,25.5622568093385,35.6820455808783,34.1,27,27.86,1007,0.5,200,0,40,21,3,9,2,6
2019-09-13 22,15.744645340751,69.8851182197497,6.00667593880389,19.3807176634214,28.4189151599444,39.5276773296245,33.18,27.2,27.47,1007,1.7,151,0,40,22,0,9,2,6
2019-09-13 23,15.2451361867704,71.7153974430239,6.5225125069483,19.3775764313507,37.2815453029461,51.884658143413,33.26,27.2,27.51,1006,1.61,158,0,40,23,0,9,2,6
2019-09-14 00,15.477184195882,73.8308291597106,6.58263772954925,19.3880968280467,36.5002782415136,50.838898163606,33.16,27.2,27.52,1006,1.72,155,0,40,0,0,9,2,7
2019-09-14 01,15.1114198388441,75.5570991942206,6.1308696860239,19.3898833009169,32.9166435120867,45.7746596276744,33.07,26.92,27.21,1006,1.62,148,0,95,1,0,9,2,7
2019-09-14 02,14.9488178025035,76.9936022253129,6.28817802503477,19.3823616133519,37.1888734353268,51.9221140472879,32.98,26.92,27.27,1006,1.66,152,0,94,2,0,9,2,7
2019-09-14 03,15.2803114571746,76.7605672969967,5.9785873192436,19.3876890989989,36.2761401557286,50.6223581757508,33.55,27.19,27.43,1006,1.73,161,0,97,3,0,9,2,7
2019-09-14 04,15.0472353431509,76.6499027507641,6.32175604334537,19.4026590719644,35.7263128646846,50.3623228674632,33.01,26.8,27.46,1006,1.86,161,0,75,4,0,9,2,7
2019-09-17 07,18.1940074906367,59.9535580524345,4.97640449438202,19.4154007490637,27.940074906367,39.2284644194757,33.72,28.2,30.2,1007,3.1,190,0,40,7,1,9,2,3
2019-09-17 08,22.1976647206005,45.6068946344176,5.43981095357242,19.4218404225744,23.4962468723937,32.7250486516542,33.36,29.41,30.2,1008,3.1,150,0,40,8,1,9,2,3
2019-09-17 09,21.8648874061718,43.7706422018349,4.43008062274117,19.4314373088685,20.3427856547123,28.5095913261051,32.74,28.2,31,1008,3.1,190,0,40,9,1,9,2,3
2019-09-17 10,21.2919954904171,44.6651634723788,5.66910935738444,19.4262006764374,21.6169673055242,30.3878241262683,35.94,31.05,32.6,1007,3.1,180,0,40,10,2,9,2,3
2019-09-17 11,21.1512371420628,45.3305532388101,5.04253544620517,19.4236752849597,16.3463997775924,22.4234083958855,36,32.19,33,1007,4.1,150,0,40,11,2,9,2,3
2019-09-17 12,21.8205342237062,42.6407902058987,5.19059543683918,19.417796327212,15.7181413466889,21.6992209237618,37.3,32.34,33,1007,3.1,140,0,40,12,2,9,2,3
2019-09-17 13,21.2206047032475,43.9123740201568,5.47284434490482,19.4233902575588,15.9986002239642,22.3194288913774,36.34,32.6,33.65,1005,2.6,140,0,40,13,2,9,2,3
2019-09-17 14,21.3810864058542,42.3414016324233,5.36532507739938,19.4100844356882,14.3416830847171,20.2994652406417,36.58,31.6,35,1001,3.1,170,0,40,14,2,9,2,3
2019-09-17 15,20.8470254957507,44.0464589235127,4.95240793201133,19.4091529745043,16.5130311614731,23.1895184135977,34.62,31.64,33,1005,3.1,170,0,40,15,2,9,2,3
2019-09-17 16,19.8197997775306,46.9226918798665,5.16351501668521,19.4145661846496,18.6977196885428,26.1907675194661,33.97,31.28,33,1005,3.1,170,0,40,16,2,9,2,3
2019-09-17 17,18.6525847693163,53.6145080600334,4.9816564758199,19.4057615341857,26.1706503613118,36.5900500277932,38.18,31.21,32,1005,0.5,160,0,54,17,3,9,2,3
2019-09-17 18,17.7100361412288,58.7367250486517,5.84209063108146,19.4066889074229,39.5351681957187,55.0948012232416,38.07,31.1,32,1005,0.5,160,0,65,18,3,9,2,3
2019-09-17 19,17.3135946622185,63.2468723936614,4.45676953016403,19.3960828468168,39.5009730330831,54.8173477898249,37,29.2,30.51,1006,0.5,200,0,69,19,3,9,2,3
2019-09-17 20,17.2054489852655,66.2463163747568,5.56713928273561,19.4027856547123,46.2830136224632,64.3978315262719,35.76,28.97,29.22,1007,0.5,200,0,56,20,3,9,2,3
2019-09-17 21,17.0458970792768,65.4514603616134,6.357719054242,19.408066759388,58.661752433936,81.6753824756606,35.62,28.8,29.2,1007,0.5,200,0,41,21,3,9,2,3
2019-09-17 22,16.6923290717065,65.8590883824347,5.99888827126181,19.4088438021123,34.7468037798777,48.5250138966092,31.24,27.8,28.15,1008,5.1,160,0,20,22,0,9,2,3
2019-09-17 23,16.3105175292154,67.6833611574847,5.3124652198108,19.3926265998887,34.1171396772398,47.6992209237618,31.51,27.45,28,1008,3.6,160,0,40,23,0,9,2,3
2019-09-18 00,16.4026191139593,67.7035385901365,5.55753691836166,19.3947617720814,30.5645026469769,42.7327946503204,30.5,27,27.8,1008,3.1,190,0,20,0,0,9,2,4
2019-09-18 01,15.4859292281973,69.7851769295068,5.98857620507105,19.398657007523,34.8534410699359,48.6815268877125,32.39,26.63,27,1007,1.34,165,0,78,1,0,9,2,4
2019-09-18 02,15.59510567297,70.4129588431591,5.45884315906563,19.4008092324805,21.202447163515,29.3642936596218,29.18,26,27,1008,3.1,180,0,20,2,0,9,2,4
2019-09-18 03,15.1102714805486,71.0842429331094,5.04813881891968,19.3927008116429,20.2773579624965,28.3478869297509,32.04,26.02,27,1007,1.13,170,0,81,3,0,9,2,4
2019-09-18 04,14.532518065592,73.5986659255142,5.79266259032796,19.3888521400778,21.3935519733185,29.8702056698166,32.11,26.27,26.6,1008,1.28,154,0,40,4,0,9,2,4
2019-09-18 05,14.3916550764951,74.3374130737135,7.06453407510431,19.399140472879,29.0267037552156,40.336578581363,32.15,26.6,29,1009,3.6,130,0,20,5,0,9,2,4
2019-09-18 06,18.1834862385321,60.821795941062,6.15290519877676,19.398448707256,29.7948290241868,41.6530442035029,32.33,26.6,29,1009,3.6,130,0,20,6,0,9,2,4
2019-09-18 07,21.8199499861073,49.5037510419561,4.86162823006391,19.4149124756877,23.3937204779105,32.7590997499305,34.42,28.6,30.4,1010,3.6,130,0,40,7,1,9,2,4
2019-09-18 08,23.5125208681135,40.7865887590429,4.46605453533667,19.4230523094046,19.3989983305509,27.2673900946021,34.04,28.6,31,1010,4.1,130,0,40,8,1,9,2,4
2019-09-18 09,23.0645161290323,38.6384872080089,4.1551724137931,19.4156674082314,21.5353170189099,29.932703003337,34.42,28.6,31,1011,3.6,130,0,40,9,1,9,2,4
2019-09-18 10,22.0956884561892,42.0319888734353,4.59082058414465,19.4175799721836,14.1744089012517,19.9415855354659,35.43,31.07,34,1011,5.1,130,0,40,10,2,9,2,4
2019-09-18 11,21.3407448582546,42.9238465814341,4.49638688160089,19.4082684824903,11.931906614786,16.7329071706504,35.48,31.4,33,1010,4.6,120,0,40,11,2,9,2,4
2019-09-18 12,21.1575437621562,42.9941650458461,5.20255626562934,19.4158210614059,11.0672409002501,15.2759099749931,35.71,31.4,34,1010,5.1,130,0,40,12,2,9,2,4
2019-09-18 13,20.7183764247984,46.0158465387823,5.20628301362246,19.4130608840701,12.0189046427579,16.8810119544065,37.82,32.23,35.56,1005,5.1,130,0,40,13,2,9,2,4
2019-09-18 14,20.7290914142817,47.4395665462629,5.32953598221728,19.4070880800222,13.3364823562101,18.8496804667963,40.14,32.34,35.56,1002,1,140,0,20,14,2,9,2,4
2019-09-18 15,18.9052251250695,53.751528627015,5.07698721511951,19.4179377431907,12.8454697053919,17.8304613674264,30.73,29.29,30.64,1000,2.6,119,0,21,15,2,9,2,4
2019-09-18 16,19.0968373915477,53.4923033865099,5.38762944304506,19.3896837391548,13.1393786733837,18.4673943464875,39.9,26.6,33.33,1002,0.5,140,0,40,16,2,9,2,4
2019-09-18 17,18.4705228031146,57.0528364849833,5.79004449388209,19.3871106785317,16.4199110122358,22.7408231368187,36.93,26.6,32.4,1008,0.5,140,0,40,17,3,9,2,4
2019-09-18 18,17.166573971079,57.5661846496107,5.86234705228031,19.3851946607342,14.5283648498331,20.5453281423804,36.71,26.6,32.4,1008,0.5,140,0,40,18,3,9,2,4
2019-09-18 19,16.3179544191217,68.642301278488,5.97415230683713,19.3941439688716,32.0953307392996,44.733740967204,35.6,27.2,29.69,1010,0.5,200,0,40,19,3,9,2,4
2019-09-18 20,16.025006946374,68.2786885245902,6.26729647124201,19.3885051403168,30.183662128369,41.7824395665463,34.17,27.2,28.16,1010,0.5,200,0,40,20,3,9,2,4
2019-09-18 21,15.7518065591996,71.9310728182324,6.28849360755976,19.372445803224,27.0308504724847,37.7701500833797,34.05,27.2,27.98,1010,0.5,200,0,40,21,3,9,2,4
2019-09-18 22,14.9585996110031,74.0244512364546,5.99277577104751,19.384006668519,17.2973048068908,24.0472353431509,32.84,27,27.34,1010,1.55,123,0,40,22,0,9,2,4
2019-09-18 23,14.2894078398666,73.7436752849597,5.5371142618849,19.3885460105644,12.2885738115096,17.3628023352794,32.84,26.87,27.22,1010,1.38,132,0,40,23,0,9,2,4
2019-09-19 00,14.2489580439011,74.8085579327591,5.65684912475688,19.3761767157544,12.2361767157544,17.0830786329536,32.91,26.92,27.25,1010,1.33,137,0,40,0,0,9,2,5
2019-09-19 01,14.2981919332406,76.0514603616134,5.87732962447844,19.3735215577191,12.2052851182198,17.0831710709319,32.7,26.6,26.92,1009,1.16,143,0,40,1,0,9,2,5
2019-09-19 02,13.7931034482759,76.6932703003337,5.75250278086763,19.3914961067853,12.6245828698554,17.8667964404894,32.94,26.47,27.22,1004,1.25,145,0,40,2,0,9,2,5
2019-09-19 03,13.7182628062361,77.8847438752784,5.75306236080178,19.3778563474388,13.4604677060134,19.3518930957684,32.31,26.21,26.6,1009,1.1,136,0,40,3,0,9,2,5
2019-09-19 04,13.4734353268428,78.6414464534075,5.83588317107093,19.3697969401947,13.9129346314325,19.7627260083449,31.79,26.2,26.46,1010,1.51,133,0,20,4,0,9,2,5
2019-09-19 05,13.1206561023075,79.4545454545455,6.30247428412566,19.3808785098693,16.5182096191271,22.9571865443425,31.61,27.55,28,1011,2.6,60,0,40,5,0,9,2,5
2019-09-19 06,19.1529051987768,58.310536558243,5.68946344175702,19.3875646371977,19.4842924659438,27.1109257714762,31.78,27.81,28,1011,2.6,60,0,40,6,0,9,2,5
2019-09-19 07,25.9706703910615,35.1491620111732,5.13519553072626,19.4207849162011,22.4946927374302,31.5466480446927,33.82,28,29.8,1011,2.1,70,0,40,7,1,9,2,5
2019-09-19 08,25.1080855793276,35.8816337871631,4.0175048624618,19.4331564323423,14.9683245345929,20.8660739094193,33.69,28,31,1011,1.5,210,0,40,8,1,9,2,5
