Timestamp,Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,hour,timecluster,month,season,dayofweek
2023-05-17 00,15.88,82.08,0.2875,0.485,3.745,13.2,14.59,14.93,14.93,1014,0.82,92.66,0,100,0,0,5,1,4
2023-05-17 01,16.135,82.225,0.28,0.07,5.56,18.84,14.27,14.64,14.64,1013,0.9,36.45,0,99,1,0,5,1,4
2023-05-17 02,15.44,84.13,0.2725,0.1675,6.2975,14.88,14.28,14.67,14.67,1013,0.565,101.835,0,97,2,0,5,1,4
2023-05-17 03,15.095,85.585,0.265,0.11,5.455,15,14.2,14.62,14.62,1013,1.2,109.105,0,98,3,0,5,1,4
2023-05-17 04,14.82,87.25,0.27,0.5775,5.4025,17.2875,14.02,14.43,14.43,1013,0.61,83.23,0,98,4,0,5,1,4
2023-05-17 05,15.26,86.83,0.275,0.7575,4.915,18.66,13.69,14.13,14.13,1014,0.75,97.01,0,74,5,0,5,1,4
2023-05-17 08,19.6666666666667,77.8433333333333,0.4325,6.145,6.815,25.8,19.37,19.68,19.68,1015,0.395,209.455,0,49,8,1,5,1,4
2023-05-17 09,19.96,76.81,0.43,6.8425,8.4175,35.22,20.26,20.56,20.56,1015,1.38,288.125,0,53,9,1,5,1,4
2023-05-17 10,22.395,69.84,0.3925,6.0575,6.7025,29.94,20.81,21.08,21.08,1014,0.63,287.39,0,56,10,2,5,1,4
2023-05-17 11,22.19,69.08,0.3375,2.4225,7.4175,29.04,21.56,21.86,21.86,1013,0.32,344.77,0,54,11,2,5,1,4
2023-05-17 13,22.71,69.38,0.3325,2.5975,7.4125,33.3,20,20.15,20.15,1013,0.21,97.34,0,80,13,2,5,1,4
2023-05-17 14,22.285,71.215,0.3525,3.4525,9.1025,35.88,17.45,17.5,17.5,1013,0.485,179.32,0,86,14,2,5,1,4
2023-05-17 16,18.18,88.105,0.3675,5.29,8.5125,25.56,18.27,18.37,18.37,1011,0.305,147.155,0.0525,82,16,2,5,1,4
2023-05-17 17,17.17,93.955,0.3475,5.035,6.8475,24.24,16.96,16.96,16.96,1012,0.6225,196.9325,1.1525,81,17,3,5,1,4
2023-05-17 18,16.6875,95.48,0.345,5.75,4.4925,16.98,15.23,15.34,15.34,1013,0.585,144.71,0.195,52,18,3,5,1,4
2023-05-17 19,16.74,95.585,0.3725,5.4275,5.9275,18.42,14.86,15.08,15.08,1015,0.395,169.4325,0,71,19,3,5,1,4
2023-05-17 20,16.515,95.8725,0.3425,4.1975,7.725,23.28,14.38,14.64,14.64,1016,0.535,145.6925,0.07,76,20,3,5,1,4
2023-05-17 21,15.255,92.9075,0.305,3.1625,5.8725,16.38,14.65,14.91,14.91,1016,1.2575,131.0725,0.77,75,21,3,5,1,4
2023-05-17 22,15.22,93.905,0.29,1.78,3.9925,11.64,14.09,14.4,14.4,1016,0.87,148.3025,0.6,71,22,0,5,1,4
2023-05-17 23,14.745,93.675,0.275,1.055,4.6075,12.12,13.93,14.21,14.21,1016,0.6675,116.805,0.035,79,23,0,5,1,4
2023-05-18 00,14.355,91.275,0.24,0.1225,2.9125,10.5,13.89,14.17,14.17,1016,0.5775,90.4025,0,85,0,0,5,1,5
2023-05-18 02,14.1675,90.6425,0.2175,0.105,0.5375,3.48,13.73,14.05,14.05,1014,0.8525,89.0975,0,93,2,0,5,1,5
2023-05-18 03,13.9,89.59,0.205,0.11,1.36,5.76,13.16,13.53,13.53,1015,0.5325,61.435,0,89,3,0,5,1,5
2023-05-18 04,13.855,93.36,0.2025,0.16,0.985,6,13.09,13.49,13.49,1015,0.575,86.615,0,87,4,0,5,1,5
2023-05-18 05,14.1833333333333,90.5033333333333,0.21,0.23,1.0175,9.12,13.84,14.2,14.2,1016,0.706666666666667,74.4666666666667,0,86,5,0,5,1,5
2023-05-18 06,16.3966666666667,83.2366666666667,0.2325,0.8425,0.9625,5.94,16.07,16.39,16.39,1016,0.563333333333333,79.1133333333333,0,88,6,0,5,1,5
2023-05-18 07,21.07,74.06,0.3325,4.2275,1.37,7.32,17.59,17.89,17.89,1016,0.29,310.8,0,86,7,1,5,1,5
2023-05-18 09,22.34,69.18,0.32,4.635,4.2975,18.48,19.98,20.21,20.21,1016,1.66,308.02,0,70,9,1,5,1,5
2023-05-18 10,22.48,68.4,0.2875,2.3325,3.0375,16.74,20.58,20.75,20.75,1015,1.43,268.5,0.005,65,10,2,5,1,5
2023-05-18 11,22.15,66.48,0.2575,1.385,2.06,12.9,19.45,19.61,19.61,1015,0.38,154.16,0,81,11,2,5,1,5
2023-05-18 12,23.315,63.32,0.23,0.985,2.2725,12.66,19.86,20,20,1014,1.625,331.5,0,88,12,2,5,1,5
2023-05-18 13,23.27,64.2,0.23,1.075,1.9,11.94,19.8,19.83,19.83,1013,0.42,43.44,0.005,72,13,2,5,1,5
2023-05-18 14,20.68,73.37,0.2525,2.5875,2.32,14.99,19.06,19.04,19.04,1012,0.53,294.08,0,69,14,2,5,1,5
2023-05-18 15,19.25,80.75,0.2575,3.15,3.01,9.78,18.6,18.57,18.57,1011,0.446666666666667,270.19,0,67,15,2,5,1,5
2023-05-18 18,17.89,89.01,0.3175,6.64,3.8725,25.14,15.9,15.83,15.83,1012,0.28,319.41,0,94,18,3,5,1,5
2023-05-18 19,17.03,88.76,0.29,2.3975,4.28,27.12,15.73,15.7,15.7,1014,0.52,330.04,0,96,19,3,5,1,5
2023-05-18 20,16.945,91.495,0.3075,2.1325,4.6975,18.06,15.67,15.67,15.67,1014,0.4,215.38,0.03,97,20,3,5,1,5
2023-05-18 21,16.69,93.215,0.355,4.02,4.74,20.7,15.46,15.46,15.46,1015,0.2975,103.525,0.12,97,21,3,5,1,5
2023-05-18 22,16.445,94.67,0.335,2.585,2.785,9.18,15.4,15.38,15.38,1014,0.4675,137.85,0.3825,97,22,0,5,1,5
2023-05-18 23,16.11,95.875,0.2925,1.05,2.115,6.18,14.97,15.01,15.01,1015,0.53,188.7325,1.595,98,23,0,5,1,5
2023-05-19 00,15.83,96.2675,0.245,0.366666666666667,2.8,9.42,14.76,14.84,14.84,1014,0.485,198.83,0,96,0,0,5,1,6
2023-05-19 02,15.405,96.7,0.21,0.06,0.5675,0.84,14.54,14.67,14.67,1012,0.4175,147.53,0.3125,96,2,0,5,1,6
2023-05-19 03,15.4475,96.775,0.21,0.075,0.4525,1.56,14.22,14.38,14.38,1012,0.4875,152.9475,0.1625,95,3,0,5,1,6
2023-05-19 07,15.2975,96.8175,0.2775,2.4675,0.5475,3.84,17.07,17.16,17.16,1013,0.4975,152.725,0.01,66,7,1,5,1,6
2023-05-19 08,15.59,96.785,0.3425,7.8325,0.795,6.78,17.74,17.79,17.79,1013,0.51,249.84,0.245,72,8,1,5,1,6
2023-05-19 09,17.015,94.8625,0.3625,5.525,1.7725,8.1,18.31,18.33,18.33,1013,0.39,165.35,0,72,9,1,5,1,6
2023-05-19 10,17.9875,89.23,0.3375,4.72,2.4125,9.36,18.7,18.71,18.71,1013,0.4975,223.2,0,70,10,2,5,1,6
2023-05-19 11,17.36,91.45,0.33,3.33,4.1275,13.2,18.77,18.75,18.75,1013,0.415,201.285,0,63,11,2,5,1,6
2023-05-19 12,18.5575,85.73,0.3025,2.59,3.4325,14.82,19.28,19.24,19.24,1012,0.5175,167.785,0,68,12,2,5,1,6
2023-05-19 13,19.565,81.625,0.285,2.72,4.8775,26.22,19.31,19.24,19.24,1011,0.42,111.525,0,55,13,2,5,1,6
2023-05-19 14,18.6366666666667,86.0966666666667,0.3,4.5075,5.415,28.38,18.77,18.68,18.68,1010,0.976666666666667,194.253333333333,0,52,14,2,5,1,6
2023-05-19 15,17.92,89.18,0.3125,4.4525,4.6425,29.16,18.42,18.34,18.34,1010,1.18,92.44,0,55,15,2,5,1,6
2023-05-19 16,18.255,85.98,0.325,6.47,5.175,30.24,18,17.93,17.93,1009,0.99,179.755,0,55,16,2,5,1,6
2023-05-19 17,16.8725,93.0275,0.345,7.575,6.8825,35.7,16.78,16.75,16.75,1010,0.41,179.215,0.03,53,17,3,5,1,6
2023-05-19 18,16.475,93.7125,0.355,5.725,7.0175,28.38,14.98,15.07,15.07,1010,0.45,156.0375,0.0825,43,18,3,5,1,6
2023-05-19 19,16.3525,94.5425,0.3825,7.1075,6.1925,27.66,14.2,14.38,14.38,1012,0.48,153.7175,0.02,29,19,3,5,1,6
2023-05-19 20,16.3525,94.8025,0.3575,4.6975,7.085,29.7,13.71,13.98,13.98,1013,0.3625,98.0625,0,34,20,3,5,1,6
2023-05-19 21,16.1275,94.65,0.3175,3.9975,6.255,21,14.11,14.32,14.32,1014,0.67,141.84,0,46,21,3,5,1,6
2023-05-19 22,15.9425,94.6725,0.2825,1.1725,5.8975,23.52,14.03,14.2,14.2,1014,0.5875,145.3125,0.0575,53,22,0,5,1,6
2023-05-19 23,15.54,94.7875,0.2625,0.7825,6.4625,20.7,13.8,13.95,13.95,1013,0.6675,111.8575,0.4175,65,23,0,5,1,6
2023-05-20 00,15.1225,94.815,0.2425,0.4225,2.825,7.4,13.85,14.04,14.04,1013,0.6375,137.9,0.155,100,0,0,5,1,7
2023-05-20 01,14.875,94.865,0.2225,0.1,1.4475,8.58,13.58,13.77,13.77,1013,0.59,135.065,0.215,100,1,0,5,1,7
2023-05-20 02,14,94.4225,0.195,0.1025,0.44,7.08,13.24,13.46,13.46,1012,0.62,132.3675,0.3275,100,2,0,5,1,7
2023-05-20 03,13.845,92.985,0.185,0.0975,1.12,6.38,12.62,12.95,12.95,1012,0.6875,115.595,0,95,3,0,5,1,7
2023-05-20 04,13.525,93.0925,0.175,0.0933333333333333,0.8275,4.32,12.39,12.74,12.74,1013,0.73,105.3625,0,90,4,0,5,1,7
2023-05-20 05,13.1875,92.925,0.185,0.32,1.665,6.3,13.38,13.68,13.68,1013,0.565,121.7775,0,89,5,0,5,1,7
2023-05-20 06,13.7533333333333,91.94,0.195,0.475,1.9425,3.9,14.74,15.06,15.06,1013,0.736666666666667,91.83,0.035,96,6,0,5,1,7
2023-05-20 07,19.2333333333333,76.38,0.265,3.6525,2.3,2.82,16.01,16.34,16.34,1013,0.433333333333333,52.2366666666667,0.01,93,7,1,5,1,7
2023-05-20 08,23.53,63.55,0.31,5.735,1.9975,13.26,17.77,18.13,18.13,1013,0.43,299.06,0,87,8,1,5,1,7
2023-05-20 10,21.43,70.87,0.325,4.7175,4.02,17.88,20.24,20.56,20.56,1012,0.49,255.41,0,74,10,2,5,1,7
2023-05-20 11,22.85,64.97,0.32,3.08,5.8875,28.68,19.9,20.18,20.18,1012,0.39,29.83,0,76,11,2,5,1,7
2023-05-20 13,22.2,66.92,0.2075,1.12,3.29,26.46,18.1,18.24,18.24,1012,2.44,279.05,0,81,13,2,5,1,7
2023-05-20 14,23.16,66.585,0.2125,1.2,3.5225,32.22,18.55,18.69,18.69,1011,1.02,210.905,0,79,14,2,5,1,7
2023-05-20 16,20.85,70.9325,0.2675,3.3675,5.4,36.78,18.18,18.33,18.33,1010,0.545,161.015,0.005,62,16,2,5,1,7
2023-05-20 17,16.995,88.4,0.36,8.6575,7.81,37.8,16.97,17.04,17.04,1010,0.9,107.295,0.29,68,17,3,5,1,7
2023-05-20 18,16.53,90.8225,0.3575,6.7325,7.98,32.82,14.61,14.83,14.83,1012,0.8225,127.9525,0.845,37,18,3,5,1,7
2023-05-20 19,16.2075,91.5525,0.3475,4.8475,8.475,34.74,14.69,14.92,14.92,1013,1.6,157.225,1.45,64,19,3,5,1,7
2023-05-20 20,15.06,90.1725,0.2625,3.4525,7.3775,26.76,14.74,14.99,14.99,1014,1.325,129.165,3.7425,75,20,3,5,1,7
2023-05-20 21,15.095,93.2825,0.2875,4.4075,5.92,17.46,14.74,14.99,14.99,1015,0.93,133.5775,0.9725,81,21,3,5,1,7
2023-05-20 22,15.1475,93.8675,0.2725,1.6825,4.7675,16.98,14.44,14.65,14.65,1015,0.9825,96.9575,0.8175,85,22,0,5,1,7
2023-05-20 23,14.665,92.185,0.245,0.56,6.5475,26.64,13.83,14.02,14.02,1015,0.9875,110.945,0.0175,85,23,0,5,1,7
2023-05-21 00,14.2175,90.7775,0.225,0.115,5.6375,20.22,13.61,13.85,13.85,1015,0.935,109.3425,0.0025,100,0,0,5,1,1
2023-05-21 01,14.0125,88.5425,0.1975,0.28,5.7575,16.62,13.38,13.64,13.64,1014,0.785,107.5825,0,97,1,0,5,1,1
2023-05-21 02,14.59,84.1433333333333,0.18,0.02,2.6675,9.6,13.06,13.35,13.35,1014,1.14,76.14,0,92,2,0,5,1,1
2023-05-21 03,13.965,85.6725,0.1775,0.1,3.005,6.9,12.86,13.21,13.21,1014,0.81,130.0125,0,90,3,0,5,1,1
2023-05-21 04,14.2033333333333,83.44,0.1675,0.21,2.2075,5.64,13.06,13.44,13.44,1014,0.833333333333333,68.3866666666667,0,90,4,0,5,1,1
2023-05-21 05,14.47,82.65,0.1825,0.465,1.955,7.44,13.21,13.65,13.65,1015,0.61,109.78,0,66,5,0,5,1,1
2023-05-21 06,15.85,77.5,0.2075,1.2575,1.5125,8.64,15.87,16.28,16.28,1015,1.06,75.98,0,49,6,0,5,1,1
2023-05-21 08,24.49,57.925,0.325,5.145,4.6425,28.14,19.25,19.66,19.66,1015,0.59,294.085,0,43,8,1,5,1,1
2023-05-21 09,24.46,58.13,0.295,2.4725,7.7825,36.84,20.12,20.5,20.5,1014,0.24,194.48,0,44,9,1,5,1,1
2023-05-21 10,22.275,65.73,0.25,0.935,8.1525,44.34,20.34,20.65,20.65,1014,1.445,197.055,0,48,10,2,5,1,1
2023-05-21 11,23.48,61.8,0.2425,0.7725,8.51,40.44,20.75,21.07,21.07,1014,1.11,278.845,0,47,11,2,5,1,1
2023-05-21 12,23.0333333333333,61.83,0.25,1.48,6.8875,40.14,20.4,20.68,20.68,1014,0.676666666666667,174.446666666667,0,76,12,2,5,1,1
2023-05-21 13,22.325,62.64,0.2525,2.2325,6.0525,35.7,19.21,19.46,19.46,1013,1.3,215.67,0,78,13,2,5,1,1
2023-05-21 14,20.9466666666667,69.3733333333333,0.25,1.245,6.205,32.58,17.81,18.02,18.02,1013,0.61,112.195,0,82,14,2,5,1,1
2023-05-21 16,19.76,75.17,0.28,1.8025,6.46,28.14,19.17,19.49,19.49,1010,0.46,16.7,0,78,16,2,5,1,1
2023-05-21 17,18.05,75.605,0.35,5.485,7.995,33.66,17.02,17.18,17.18,1012,0.545,97.82,0,85,17,3,5,1,1
2023-05-21 18,17.2133333333333,74.8466666666667,0.3925,9.2725,8.185,30.06,15.4,15.64,15.64,1013,0.573333333333333,99.9066666666667,0,75,18,3,5,1,1
