Timestamp,Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,hour,timecluster,month,season,dayofweek
2023-05-17 00,29.33,81.075,0.385,11.9025,31.04,53.225,36.97,29.97,29.97,1000.325,1.6775,245.315,0,20,0,0,5,1,4
2023-05-17 01,29.055,83.53,0.38,12.3875,29.7125,53.49,36.97,29.97,29.97,999.875,1.5125,238.175,0,20,1,0,5,1,4
2023-05-17 02,28.94,84.41,0.3125,12.3925,26.375,47.095,36.97,29.97,29.97,999.525,1.495,237.265,0,40,2,0,5,1,4
2023-05-17 03,28.885,84.8,0.3275,12.145,28.3875,45.3075,35.55,28.97,28.97,999.575,1.7225,234.4225,0,40,3,0,5,1,4
2023-05-17 04,28.8475,84.27,0.36,12.245,25.96,41.2125,35.55,28.97,28.97,1000,2.4775,225.975,0,40,4,0,5,1,4
2023-05-17 05,28.8325,83.805,0.39,12.6025,25.7275,35.2025,36.97,29.97,29.97,1000.8,2.465,221.2975,0,40,5,0,5,1,4
2023-05-17 06,29.3225,80.265,0.4075,12.915,23.5,38.7275,36.97,29.97,29.97,1001.45,2.1525,230.9,0,40,6,0,5,1,4
2023-05-17 07,30.6225,70.8375,0.4275,12.1775,24.8175,40.1925,37.97,30.97,30.97,1002.075,2.45,227.9825,0,40,7,1,5,1,4
2023-05-17 08,32.0225,58.65,0.425,12.65,25.875,37.36,38.97,31.97,31.97,1002.5,3.015,222.4525,0,20,8,1,5,1,4
2023-05-17 09,33.0625,55.9225,0.46,13.0325,23.875,42.48,40.97,33.97,33.97,1002.5,3.575,219.01,0,20,9,1,5,1,4
2023-05-17 10,33.9175,56.455,0.485,12.935,27.1925,53.045,41.97,34.97,34.97,1002.55,2.8925,219.285,0,4,10,2,5,1,4
2023-05-17 11,34.3225,55.21,0.53,12.995,32.995,59.37,41.97,34.97,34.97,1002.175,2.97,222.76,0,4,11,2,5,1,4
2023-05-17 12,34.6875,54.1275,0.92,13.1175,37.63,58.055,42.97,35.97,35.97,1001.775,3.1325,218.095,0,0,12,2,5,1,4
2023-05-17 15,34.305,56.3025,0.4575,12.9525,39.96,60.92,42.97,35.97,35.97,1000.3,2.9125,218.5025,0,40,15,2,5,1,4
2023-05-17 16,33.595,58.8075,0.4025,12.65,39.4275,57.5525,41.97,34.97,34.97,1000.675,2.2325,231.7625,0,40,16,2,5,1,4
2023-05-17 17,32.095,64.2975,0.3725,12.685,37.6675,56.865,40.97,33.97,33.97,1000.7,2.6225,232.8,0,40,17,3,5,1,4
2023-05-17 18,31.0275,69.18,0.3625,12.52,35.05,60.225,38.97,31.97,31.97,1002.05,2.01,234.645,0,40,18,3,5,1,4
